"","state","Rep_12","Dem_12","Other_12","Rep_16","Dem_16","Other_16","total_population","votingAgeCap","total_votes_2012","total_votes_2016","White","Black","Hispanic","Nonwhite","Foreign_born","Female_count","age29andunder_count","age65andolder_count","clf_unemploy_count","lesshs_count","lesscollege_count","lesshs_whites_count","lesscollege_whites_count","rural_count","median_hh_inc","Party_12","Party_16","VoteDiff","VoteRange"
"1","Alabama",1255925,795696,18732,1318250,729547,75570,4841164,3639505,2070353,2123367,3204335,1275780,193503,1636829,165504,2494971,1898933,742394,406984.552989872,733895.41170026,3672518.76544859,593375.486722219,3491598.79436526,1969261.27762838,38248,"Repblican","Repblican",588703,9717371.5800027
"2","Arizona",1233654,1025232,40368,1252401,1161167,215188,6728577,4613575,2299254,2628756,3777876,270045,2054849,2950701,901547.999999998,3384471,2744622,1070151,549259.809194788,928373.858411465,4841907.89513586,403456.354795104,4416870.03239076,669397.380845739,45383,"Repblican","Repblican",91234,8722433.5800027
"3","Arkansas",647744,394409,27315,684872,380494,64530,2968472,2175330,1069468,1129896,2177900,457822,207049,790572,139034,1511778,1189060,464987,206900.541550166,439086.525015414,2323849.46080877,351962.049362719,2256364.51055261,1285534.34360561,36352,"Repblican","Repblican",304378,9148721.5800027
"4","California",4839958,7854285,344304,4483810,8753788,943997,38654206,24582600,13038547,14181595,14837242,2158363,14903982,23816964,10437630,19453236,16018229,4976981.99999999,3426441.85613902,6993850.9964425,26446456.0752481,2211591.24656239,22407805.6134572,1922676.3845938,54707.5,"Democrat","Democrat",-4269978,9.58000270090997
"5","Colorado",1185050,1322998,61169,1202484,1338870,238866,5359295,3824445,2569217,2780220,3696127,207585,1132292,1663168,524444,2669659,2168785,678040.000000001,326317.42901762,483684.132870362,3288180.42416173,215765.497419706,2973611.64570676,721092.658607611,49310,"Democrat","Democrat",-136386,8267193.5800027
"6","Connecticut",624210,891674,17661,673215,897572,74133,3588570,2582880,1533545,1644920,2464450,347674.000000001,537728,1124120,503209,1838300,1342757,555023,285953.229756184,353529.935457863,2221284.70556964,222198.997974349,2045946.19496754,426460.134337776,70773,"Democrat","Democrat",-224357,8091251.5800027
"7","Delaware",165484,242584,5869,185127,235603,22267,934695,689655,413937,442997,593565,197550,82662,341130,82549.9999999999,482279,357585,153833,66792.1155601078,104258.855705068,649028.412929441,76208.7479206976,625956.570030132,158893.762557691,55184,"Democrat","Democrat",-50476,8439013.5800027
"8","District of Columbia",21381,267070,5313,12723,282830,15715,659009,494090,293764,311268,235722,312557,69105.9999999998,423287,92513.0000000002,346380,274136,75166.0000000001,57560.1529913432,66200.231513379,294180.392376193,4071.63706171805,60551.0597321212,0,72935,"Democrat","Democrat",-270107,7999751.5800027
"9","Florida",4163447,4237756,72976,4617886,4504975,297178,19934451,14195900,8474179,9420039,11080426,3078918,4806854,8854025,3967671,10193189,7139944,3797625,1680342.70940995,2559931.91332296,14358988.9683771,1518291.64429956,13160757.0092191,1728783.16471688,44224,"Democrat","Repblican",112911,8765787.5800027
"10","Georgia",2078688,1773827,47535,2089104,1877963,147644,10099320,7063795,3900050,4114711,5466239,3105273,926990.000000001,4633081,994628.999999999,5176849,4203884,1246295,868655.332150925,1427487.68074776,7127878.6811262,1000641.68096154,6487150.66856119,2449400.71479961,38827,"Repblican","Repblican",211141,8962247.5800027
