"","state","Rep_12","Dem_12","Other_12","Rep_16","Dem_16","Other_16","total_population","votingAgeCap","total_votes_2012","total_votes_2016","Female_count","age29andunder_count","age65andolder_count","clf_unemploy_count","lesshs_count","lesscollege_count","lesshs_whites_count","lesscollege_whites_count","rural_count","median_hh_inc","Party_12","Party_16","Demographic","Dem_pop"
"1","Alabama",1255925,795696,18732,1318250,729547,75570,4841164,3639505,2070353,2123367,2494971,1898933,742394,406984.552989872,733895.41170026,3672518.76544859,593375.486722219,3491598.79436526,1969261.27762838,38248,"#DC143C","#DC143C","White",3204335
"2","Alabama",1255925,795696,18732,1318250,729547,75570,4841164,3639505,2070353,2123367,2494971,1898933,742394,406984.552989872,733895.41170026,3672518.76544859,593375.486722219,3491598.79436526,1969261.27762838,38248,"#DC143C","#DC143C","Black",1275780
"3","Alabama",1255925,795696,18732,1318250,729547,75570,4841164,3639505,2070353,2123367,2494971,1898933,742394,406984.552989872,733895.41170026,3672518.76544859,593375.486722219,3491598.79436526,1969261.27762838,38248,"#DC143C","#DC143C","Hispanic",193503
"4","Alabama",1255925,795696,18732,1318250,729547,75570,4841164,3639505,2070353,2123367,2494971,1898933,742394,406984.552989872,733895.41170026,3672518.76544859,593375.486722219,3491598.79436526,1969261.27762838,38248,"#DC143C","#DC143C","Nonwhite",1636829
"5","Alabama",1255925,795696,18732,1318250,729547,75570,4841164,3639505,2070353,2123367,2494971,1898933,742394,406984.552989872,733895.41170026,3672518.76544859,593375.486722219,3491598.79436526,1969261.27762838,38248,"#DC143C","#DC143C","Foreign_born",165504
"6","Arizona",1233654,1025232,40368,1252401,1161167,215188,6728577,4613575,2299254,2628756,3384471,2744622,1070151,549259.809194788,928373.858411465,4841907.89513586,403456.354795104,4416870.03239076,669397.380845739,45383,"#DC143C","#DC143C","White",3777876
"7","Arizona",1233654,1025232,40368,1252401,1161167,215188,6728577,4613575,2299254,2628756,3384471,2744622,1070151,549259.809194788,928373.858411465,4841907.89513586,403456.354795104,4416870.03239076,669397.380845739,45383,"#DC143C","#DC143C","Black",270045
"8","Arizona",1233654,1025232,40368,1252401,1161167,215188,6728577,4613575,2299254,2628756,3384471,2744622,1070151,549259.809194788,928373.858411465,4841907.89513586,403456.354795104,4416870.03239076,669397.380845739,45383,"#DC143C","#DC143C","Hispanic",2054849
"9","Arizona",1233654,1025232,40368,1252401,1161167,215188,6728577,4613575,2299254,2628756,3384471,2744622,1070151,549259.809194788,928373.858411465,4841907.89513586,403456.354795104,4416870.03239076,669397.380845739,45383,"#DC143C","#DC143C","Nonwhite",2950701
"10","Arizona",1233654,1025232,40368,1252401,1161167,215188,6728577,4613575,2299254,2628756,3384471,2744622,1070151,549259.809194788,928373.858411465,4841907.89513586,403456.354795104,4416870.03239076,669397.380845739,45383,"#DC143C","#DC143C","Foreign_born",901547.999999998
"11","Arkansas",647744,394409,27315,684872,380494,64530,2968472,2175330,1069468,1129896,1511778,1189060,464987,206900.541550166,439086.525015414,2323849.46080877,351962.049362719,2256364.51055261,1285534.34360561,36352,"#DC143C","#DC143C","White",2177900
"12","Arkansas",647744,394409,27315,684872,380494,64530,2968472,2175330,1069468,1129896,1511778,1189060,464987,206900.541550166,439086.525015414,2323849.46080877,351962.049362719,2256364.51055261,1285534.34360561,36352,"#DC143C","#DC143C","Black",457822
"13","Arkansas",647744,394409,27315,684872,380494,64530,2968472,2175330,1069468,1129896,1511778,1189060,464987,206900.541550166,439086.525015414,2323849.46080877,351962.049362719,2256364.51055261,1285534.34360561,36352,"#DC143C","#DC143C","Hispanic",207049
"14","Arkansas",647744,394409,27315,684872,380494,64530,2968472,2175330,1069468,1129896,1511778,1189060,464987,206900.541550166,439086.525015414,2323849.46080877,351962.049362719,2256364.51055261,1285534.34360561,36352,"#DC143C","#DC143C","Nonwhite",790572
"15","Arkansas",647744,394409,27315,684872,380494,64530,2968472,2175330,1069468,1129896,1511778,1189060,464987,206900.541550166,439086.525015414,2323849.46080877,351962.049362719,2256364.51055261,1285534.34360561,36352,"#DC143C","#DC143C","Foreign_born",139034
"16","California",4839958,7854285,344304,4483810,8753788,943997,38654206,24582600,13038547,14181595,19453236,16018229,4976981.99999999,3426441.85613902,6993850.9964425,26446456.0752481,2211591.24656239,22407805.6134572,1922676.3845938,54707.5,"#00008B","#00008B","White",14837242
"17","California",4839958,7854285,344304,4483810,8753788,943997,38654206,24582600,13038547,14181595,19453236,16018229,4976981.99999999,3426441.85613902,6993850.9964425,26446456.0752481,2211591.24656239,22407805.6134572,1922676.3845938,54707.5,"#00008B","#00008B","Black",2158363
"18","California",4839958,7854285,344304,4483810,8753788,943997,38654206,24582600,13038547,14181595,19453236,16018229,4976981.99999999,3426441.85613902,6993850.9964425,26446456.0752481,2211591.24656239,22407805.6134572,1922676.3845938,54707.5,"#00008B","#00008B","Hispanic",14903982
"19","California",4839958,7854285,344304,4483810,8753788,943997,38654206,24582600,13038547,14181595,19453236,16018229,4976981.99999999,3426441.85613902,6993850.9964425,26446456.0752481,2211591.24656239,22407805.6134572,1922676.3845938,54707.5,"#00008B","#00008B","Nonwhite",23816964
"20","California",4839958,7854285,344304,4483810,8753788,943997,38654206,24582600,13038547,14181595,19453236,16018229,4976981.99999999,3426441.85613902,6993850.9964425,26446456.0752481,2211591.24656239,22407805.6134572,1922676.3845938,54707.5,"#00008B","#00008B","Foreign_born",10437630
"21","Colorado",1185050,1322998,61169,1202484,1338870,238866,5359295,3824445,2569217,2780220,2669659,2168785,678040.000000001,326317.42901762,483684.132870362,3288180.42416173,215765.497419706,2973611.64570676,721092.658607611,49310,"#00008B","#00008B","White",3696127
"22","Colorado",1185050,1322998,61169,1202484,1338870,238866,5359295,3824445,2569217,2780220,2669659,2168785,678040.000000001,326317.42901762,483684.132870362,3288180.42416173,215765.497419706,2973611.64570676,721092.658607611,49310,"#00008B","#00008B","Black",207585
"23","Colorado",1185050,1322998,61169,1202484,1338870,238866,5359295,3824445,2569217,2780220,2669659,2168785,678040.000000001,326317.42901762,483684.132870362,3288180.42416173,215765.497419706,2973611.64570676,721092.658607611,49310,"#00008B","#00008B","Hispanic",1132292
"24","Colorado",1185050,1322998,61169,1202484,1338870,238866,5359295,3824445,2569217,2780220,2669659,2168785,678040.000000001,326317.42901762,483684.132870362,3288180.42416173,215765.497419706,2973611.64570676,721092.658607611,49310,"#00008B","#00008B","Nonwhite",1663168
"25","Colorado",1185050,1322998,61169,1202484,1338870,238866,5359295,3824445,2569217,2780220,2669659,2168785,678040.000000001,326317.42901762,483684.132870362,3288180.42416173,215765.497419706,2973611.64570676,721092.658607611,49310,"#00008B","#00008B","Foreign_born",524444
"26","Connecticut",624210,891674,17661,673215,897572,74133,3588570,2582880,1533545,1644920,1838300,1342757,555023,285953.229756184,353529.935457863,2221284.70556964,222198.997974349,2045946.19496754,426460.134337776,70773,"#00008B","#00008B","White",2464450
"27","Connecticut",624210,891674,17661,673215,897572,74133,3588570,2582880,1533545,1644920,1838300,1342757,555023,285953.229756184,353529.935457863,2221284.70556964,222198.997974349,2045946.19496754,426460.134337776,70773,"#00008B","#00008B","Black",347674.000000001
"28","Connecticut",624210,891674,17661,673215,897572,74133,3588570,2582880,1533545,1644920,1838300,1342757,555023,285953.229756184,353529.935457863,2221284.70556964,222198.997974349,2045946.19496754,426460.134337776,70773,"#00008B","#00008B","Hispanic",537728
"29","Connecticut",624210,891674,17661,673215,897572,74133,3588570,2582880,1533545,1644920,1838300,1342757,555023,285953.229756184,353529.935457863,2221284.70556964,222198.997974349,2045946.19496754,426460.134337776,70773,"#00008B","#00008B","Nonwhite",1124120
"30","Connecticut",624210,891674,17661,673215,897572,74133,3588570,2582880,1533545,1644920,1838300,1342757,555023,285953.229756184,353529.935457863,2221284.70556964,222198.997974349,2045946.19496754,426460.134337776,70773,"#00008B","#00008B","Foreign_born",503209
"31","Delaware",165484,242584,5869,185127,235603,22267,934695,689655,413937,442997,482279,357585,153833,66792.1155601078,104258.855705068,649028.412929441,76208.7479206976,625956.570030132,158893.762557691,55184,"#00008B","#00008B","White",593565
"32","Delaware",165484,242584,5869,185127,235603,22267,934695,689655,413937,442997,482279,357585,153833,66792.1155601078,104258.855705068,649028.412929441,76208.7479206976,625956.570030132,158893.762557691,55184,"#00008B","#00008B","Black",197550
"33","Delaware",165484,242584,5869,185127,235603,22267,934695,689655,413937,442997,482279,357585,153833,66792.1155601078,104258.855705068,649028.412929441,76208.7479206976,625956.570030132,158893.762557691,55184,"#00008B","#00008B","Hispanic",82662
"34","Delaware",165484,242584,5869,185127,235603,22267,934695,689655,413937,442997,482279,357585,153833,66792.1155601078,104258.855705068,649028.412929441,76208.7479206976,625956.570030132,158893.762557691,55184,"#00008B","#00008B","Nonwhite",341130
"35","Delaware",165484,242584,5869,185127,235603,22267,934695,689655,413937,442997,482279,357585,153833,66792.1155601078,104258.855705068,649028.412929441,76208.7479206976,625956.570030132,158893.762557691,55184,"#00008B","#00008B","Foreign_born",82549.9999999999
"36","District of Columbia",21381,267070,5313,12723,282830,15715,659009,494090,293764,311268,346380,274136,75166.0000000001,57560.1529913432,66200.231513379,294180.392376193,4071.63706171805,60551.0597321212,0,72935,"#00008B","#00008B","White",235722
"37","District of Columbia",21381,267070,5313,12723,282830,15715,659009,494090,293764,311268,346380,274136,75166.0000000001,57560.1529913432,66200.231513379,294180.392376193,4071.63706171805,60551.0597321212,0,72935,"#00008B","#00008B","Black",312557
"38","District of Columbia",21381,267070,5313,12723,282830,15715,659009,494090,293764,311268,346380,274136,75166.0000000001,57560.1529913432,66200.231513379,294180.392376193,4071.63706171805,60551.0597321212,0,72935,"#00008B","#00008B","Hispanic",69105.9999999998
"39","District of Columbia",21381,267070,5313,12723,282830,15715,659009,494090,293764,311268,346380,274136,75166.0000000001,57560.1529913432,66200.231513379,294180.392376193,4071.63706171805,60551.0597321212,0,72935,"#00008B","#00008B","Nonwhite",423287
"40","District of Columbia",21381,267070,5313,12723,282830,15715,659009,494090,293764,311268,346380,274136,75166.0000000001,57560.1529913432,66200.231513379,294180.392376193,4071.63706171805,60551.0597321212,0,72935,"#00008B","#00008B","Foreign_born",92513.0000000002
"41","Florida",4163447,4237756,72976,4617886,4504975,297178,19934451,14195900,8474179,9420039,10193189,7139944,3797625,1680342.70940995,2559931.91332296,14358988.9683771,1518291.64429956,13160757.0092191,1728783.16471688,44224,"#00008B","#DC143C","White",11080426
"42","Florida",4163447,4237756,72976,4617886,4504975,297178,19934451,14195900,8474179,9420039,10193189,7139944,3797625,1680342.70940995,2559931.91332296,14358988.9683771,1518291.64429956,13160757.0092191,1728783.16471688,44224,"#00008B","#DC143C","Black",3078918
"43","Florida",4163447,4237756,72976,4617886,4504975,297178,19934451,14195900,8474179,9420039,10193189,7139944,3797625,1680342.70940995,2559931.91332296,14358988.9683771,1518291.64429956,13160757.0092191,1728783.16471688,44224,"#00008B","#DC143C","Hispanic",4806854
"44","Florida",4163447,4237756,72976,4617886,4504975,297178,19934451,14195900,8474179,9420039,10193189,7139944,3797625,1680342.70940995,2559931.91332296,14358988.9683771,1518291.64429956,13160757.0092191,1728783.16471688,44224,"#00008B","#DC143C","Nonwhite",8854025
"45","Florida",4163447,4237756,72976,4617886,4504975,297178,19934451,14195900,8474179,9420039,10193189,7139944,3797625,1680342.70940995,2559931.91332296,14358988.9683771,1518291.64429956,13160757.0092191,1728783.16471688,44224,"#00008B","#DC143C","Foreign_born",3967671
