"","state","trump16","clinton16","otherpres16","total_population","cvap","median_hh_inc","ruralurban_cc","party"
"1","Alabama",1318250,729547,75570,4841164,3639505,2601940,311,"REP"
"2","Arizona",1252401,1161167,215188,6728577,4613575,662498,57,"REP"
"3","Arkansas",684872,380494,64530,2968472,2175330,2812779,423,"REP"
"4","California",4483810,8753788,943997,38654206,24582600,3369292,194,"DEM"
"5","Colorado",1202484,1338870,238866,5359295,3824445,3343590,371,"DEM"
"6","Connecticut",673215,897572,74133,3588570,2582880,579160,15,"DEM"
"7","Delaware",185127,235603,22267,934695,689655,175685,6,"DEM"
"8","District of Columbia",12723,282830,15715,659009,494090,72935,1,"DEM"
"9","Florida",4617886,4504975,297178,19934451,14195900,3028760,214,"REP"
"10","Georgia",2089104,1877963,147644,10099320,7063795,6634680,708,"REP"
"11","Hawaii",128847,266891,33199,1413582,1006640,268098,15,"DEM"
"12","Idaho",409055,189765,91613,1635483,1148900,1969741,249,"REP"
"13","Illinois",2146015,3090729,321963,12851684,9003485,5226557,469,"DEM"
"14","Indiana",1557286,1033126,144546,6589578,4824565,4605503,366,"REP"
"15","Iowa",800983,653669,111379,3106589,2295045,5110402,583,"REP"
"16","Kansas",671018,427005,86380,2898292,2061765,5098773,685,"REP"
"17","Kentucky",1202971,628854,92324,4411989,3313780,4806127,689,"REP"
"18","Louisiana",1178638,780154,70240,4645670,3432025,2683974,255,"REP"
"19","Maine",334945,354718,54278,1329923,1051865,760853,83,"DEM"
"20","Maryland",943169,1677928,160349,5959902,4212250,1683826,57,"DEM"
"21","Massachusetts",1090893,1995196,188466,6742143,4887320,952102,36,"DEM"
"22","Michigan",2279543,2268839,250902,9909600,7408635,3789295,444,"REP"
"23","Minnesota",1322951,1367716,254146,5450868,3980480,4833707,461,"DEM"
"24","Mississippi",700714,485131,23512,2989192,2217760,2921366,479,"REP"
"25","Missouri",1594511,1071068,141802,NA,NA,NA,NA,"REP"
"26","Montana",279240,177709,40198,1023391,789490,2552238,409,"REP"
"27","Nebraska",495961,284454,63772,1881259,1341015,4645715,662,"REP"
"28","Nevada",512058,539260,74067,2839172,1902290,941123,94,"DEM"
"29","New Hampshire",345790,348526,49980,1327503,1027635,623909,41,"DEM"
"30","New Jersey",1601933,2148278,123835,8915456,6087275,1562561,28,"DEM"
"31","New Mexico",319667,385234,93418,2082669,1464245,1322931,189,"DEM"
"32","New York",2814589,4547562,345212,19697457,13605855,3501660,190,"DEM"
"33","North Carolina",2362631,2189316,189617,9940828,7203800,4270756,425,"REP"
"34","North Dakota",216794,93758,33808,736162,555685,3032654,408,"REP"
"35","Ohio",2841005,2394164,261318,11586941,8734140,4377285,327,"REP"
"36","Oklahoma",949136,420375,83481,3875589,2787660,3468126,433,"REP"
"37","Oregon",782403,1002106,216827,3982267,2911325,1673321,175,"DEM"
"38","Pennsylvania",2970733,2926441,218228,12783977,9725830,3451372,244,"REP"
"39","Rhode Island",180490,251888,31038,1054491,780250,334974,5,"DEM"
"40","South Carolina",1155389,855373,92265,4834605,3620835,1880305,167,"REP"
"41","South Dakota",227721,117458,24914,NA,NA,NA,494,"REP"
"42","Tennessee",1522925,870695,114407,6548009,4876600,3932447,423,"REP"
"43","Texas",4685047,3877868,406311,26956435,17177620,12202113,1317,"REP"
"44","Utah",515231,310676,305523,2948427,1903500,1643695,153,"REP"
"45","Vermont",95369,178573,41135,626249,493535,753918,83,"DEM"
"46","Virginia",1769443,1981473,233715,NA,NA,NA,497,"DEM"
"47","Washington",1221747,1742718,244749,7073146,5008030,2022530,153,"DEM"
"48","West Virginia",489371,188794,34886,1846092,1453210,2219894,288,"REP"
"49","Wisconsin",1404440,1381823,189490,5754798,4313285,3737440,355,"REP"
"50","Wyoming",174419,55973,25457,583029,432375,1312383,153,"REP"
