"","state","trump16","clinton16","otherpres16","total_population","cvap","white_pct","black_pct","hispanic_pct","nonwhite_pct","foreignborn_pct","female_pct","age29andunder_pct","age65andolder_pct","clf_unemploy_pct","lesshs_pct","lesscollege_pct","lesshs_whites_pct","lesscollege_whites_pct","rural_pct","median_hh_inc","party"
"1","Alabama",1318250,729547,75570,4841164,3639505,3204335,1275780,193503,1636829,165504,2494971,1898933,742394,406984.552989872,733895.41170026,3672518.76544859,593375.486722219,3491598.79436526,1969261.27762838,38248,"#DC143C"
"2","Arizona",1252401,1161167,215188,6728577,4613575,3777876,270045,2054849,2950701,901547.999999998,3384471,2744622,1070151,549259.809194788,928373.858411465,4841907.89513586,403456.354795104,4416870.03239076,669397.380845739,45383,"#DC143C"
"3","Arkansas",684872,380494,64530,2968472,2175330,2177900,457822,207049,790572,139034,1511778,1189060,464987,206900.541550166,439086.525015414,2323849.46080877,351962.049362719,2256364.51055261,1285534.34360561,36352,"#DC143C"
"4","California",4483810,8753788,943997,38654206,24582600,14837242,2158363,14903982,23816964,10437630,19453236,16018229,4976981.99999999,3426441.85613902,6993850.9964425,26446456.0752481,2211591.24656239,22407805.6134572,1922676.3845938,54707.5,"#00008B"
"5","Colorado",1202484,1338870,238866,5359295,3824445,3696127,207585,1132292,1663168,524444,2669659,2168785,678040.000000001,326317.42901762,483684.132870362,3288180.42416173,215765.497419706,2973611.64570676,721092.658607611,49310,"#00008B"
"6","Connecticut",673215,897572,74133,3588570,2582880,2464450,347674.000000001,537728,1124120,503209,1838300,1342757,555023,285953.229756184,353529.935457863,2221284.70556964,222198.997974349,2045946.19496754,426460.134337776,70773,"#00008B"
"7","Delaware",185127,235603,22267,934695,689655,593565,197550,82662,341130,82549.9999999999,482279,357585,153833,66792.1155601078,104258.855705068,649028.412929441,76208.7479206976,625956.570030132,158893.762557691,55184,"#00008B"
"8","District of Columbia",12723,282830,15715,659009,494090,235722,312557,69105.9999999998,423287,92513.0000000002,346380,274136,75166.0000000001,57560.1529913432,66200.231513379,294180.392376193,4071.63706171805,60551.0597321212,0,72935,"#00008B"
"9","Florida",4617886,4504975,297178,19934451,14195900,11080426,3078918,4806854,8854025,3967671,10193189,7139944,3797625,1680342.70940995,2559931.91332296,14358988.9683771,1518291.64429956,13160757.0092191,1728783.16471688,44224,"#DC143C"
"10","Georgia",2089104,1877963,147644,10099320,7063795,5466239,3105273,926990.000000001,4633081,994628.999999999,5176849,4203884,1246295,868655.332150925,1427487.68074776,7127878.6811262,1000641.68096154,6487150.66856119,2449400.71479961,38827,"#DC143C"
"11","Hawaii",128847,266891,33199,1413582,1006640,316256,23768,141824,1097326,253540,703756,544370,227592.999999999,78079.6497803747,123468.024731093,969647.53415284,44441.322363959,769456.617598345,114823.12104498,68500.5,"#00008B"
"12","Idaho",409055,189765,91613,1635483,1148900,1355896,9818,195589,279587,97736,815638,694851,233346,102095.062876358,165265.171597027,1205708.23726397,112956.147110859,1179813.21075692,470230.735215731,44473.5,"#DC143C"
"13","Illinois",2146015,3090729,321963,12851684,9003485,7996856,1810559,2136474,4854828,1791568,6541224,5125405,1784097,1050507.43948093,1498982.67943657,8605849.23549035,799705.10717606,7766285.02532033,1456257.05186251,49025,"#00008B"
"14","Indiana",1557286,1033126,144546,6589578,4824565,5284680,599629,429522,1304898,324368,3344256,2674213,940323,456771.28464286,785779.262611938,4952185.23923169,665214.860404732,4857359.56722843,1792704.84190357,48120.5,"#DC143C"
"15","Iowa",800983,653669,111379,3106589,2295045,2701600,100660,172707,404989,151167,1563601,1239835,490781,141151.591620943,255548.394926956,2248932.53010179,196205.376531795,2221966.49099873,1097421.19945891,49942,"#DC143C"
"16","Kansas",671018,427005,86380,2898292,2061765,2227043,163121,327739,671249,200769,1456380,1210799,415527,155293.535650947,283306.923230234,1979934.38967358,186209.842680815,1911605.27497282,731634.454279364,47532,"#DC143C"
"17","Kentucky",1202971,628854,92324,4411989,3313780,3766346,345715,146945,645643,154143,2239244,1725300,653000,343643.41177772,673757.113694697,3403194.228599,633313.121320486,3351296.62145498,1810825.38230422,39753,"#DC143C"
"18","Louisiana",1178638,780154,70240,4645670,3432025,2754643,1483906,223408,1891027,187580,2373986,1919300,633725,359715.161358292,750373.185457647,3578269.48638439,533055.559329629,3296173.64976405,1226202.83774742,40793,"#DC143C"
"19","Maine",334945,354718,54278,1329923,1051865,1246606,15472,19772,83317,47651,678579,450087,242251,80694.6298805712,107474.423487405,939982.95940624,102344.546558222,937550.896294296,812705.932864346,47025,"#00008B"
"20","Maryland",943169,1677928,160349,5959902,4212250,3128390,1738618,550145.999999999,2831512,874332.000000001,3073168,2322028,820050,402720.479691907,619464.611080457,3672690.14625814,407291.839765462,3211436.3985528,755436.091847245,68463.5,"#00008B"
"21","Massachusetts",1090893,1995196,188466,6742143,4887320,4970011,443182,731739.000000001,1772132,1061461,3472772,2571459,1016679,458687.827228781,673091.755347174,3966955.2007351,443496.468455863,3715374.3618239,533976.0897889,64458,"#00008B"
"22","Michigan",2279543,2268839,250902,9909600,7408635,7503076,1361993,474381,2406524,632482,5039715,3843674,1527698,855391.690853221,1002377.05529532,7176594.23891731,830054.412384449,7011678.14743151,2508346.88961855,43373,"#DC143C"
"23","Minnesota",1322951,1367716,254146,5450868,3980480,4432384,305402.999999999,276026,1018484,426690.999999999,2740711,2154225,779405,264786.40290116,401647.404736562,3583152.65157161,256787.692396778,3454455.07665939,1427617.56462439,53059,"#00008B"
"24","Mississippi",700714,485131,23512,2989192,2217760,1710126,1117387,86704,1279066,67330,1538923,1235812,426632,292173.478456009,508299.18693431,2355433.92518118,374581.45480244,2212144.55878083,1500565.55072293,34761.5,"#DC143C"
"25","Missouri",1594511,1071068,141802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"#DC143C"
"26","Montana",279240,177709,40198,1023391,789490,888635,3948,34841,134756,20912,509200,388660,170868,58821.8881544883,72646.470059332,715431.022642741,64852.5494962115,703232.967980947,448542.628929715,44389.5,"#DC143C"
"27","Nebraska",495961,284454,63772,1881259,1341015,1511352,85910.9999999998,191802,369907,126533,945324,781774,271498,78484.5226301627,175285.691928328,1312731.33787906,101314.517115297,1267647.86025001,489542.549204366,49943,"#DC143C"
